Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Fiji,FJI,Melanesia,881,"6,456.53","3,907.56","7,557.78","4,393.21",0.702
Finland,FIN,Northern Europe,5426,"208,012.25","247,386.61","38,610.88","48,685.66",0.892
France,FRA,Western Europe,64291,"2,369,589.06","2,611,199.85","36,391.00","42,727.86",0.893
French Guiana,GUF,South America,n/a,n/a,n/a,n/a,n/a,n/a
French Polynesia,PYF,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Gabon,GAB,Middle Africa,1672,"25,289.76","18,377.08","16,483.34","11,113.89",0.683
Gambia,GMB,Western Africa,1849,"2,676.02",907.43,"1,506.68",508.27,0.439
Georgia,GEO,Western Asia,4341,"28,345.98","15,747.29","6,342.52","3,230.67",0.745
Germany,DEU,Western Europe,82727,"3,352,099.06","3,425,928.31","40,989.73","44,364.83",0.92
Ghana,GHA,Western Africa,25905,"85,526.11","40,710.78","3,425.73","1,584.77",0.558
Gibraltar,GIB,Southern Europe,n/a,n/a,n/a,n/a,n/a,n/a
Greece,GRC,Southern Europe,11128,"300,833.72","248,938.66","26,622.45","25,653.72",0.86
Greenland,GRL,Northern America,n/a,n/a,n/a,n/a,n/a,n/a
Grenada,GRD,Caribbean,106,"1,179.03",766.51,"11,220.94","7,410.48",0.77
Guadeloupe,GLP,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Guam,GUM,Micronesia,n/a,n/a,n/a,n/a,n/a,n/a
Guatemala,GTM,Central America,15468,"102,391.16","50,233.75","6,971.26","3,246.88",0.581
Guinea,GIN,Western Africa,11745,"13,154.58","5,631.62","1,286.91",489.51,0.355
Guinea-Bissau,GNB,Western Africa,1704,"2,111.25",822.32,"1,364.68",636.51,0.364
Guyana,GUY,South America,800,n/a,"2,850.57",n/a,n/a,0.636
Haiti,HTI,Caribbean,10317,"15,579.00","7,843.48","1,556.51",733.96,0.456
Holy See,VAT,Southern Europe,1,n/a,n/a,n/a,n/a,n/a
Honduras,HND,Central America,8098,"33,791.21","18,434.02","4,349.44","2,282.24",0.632
Hong Kong SAR (China),HKG,Eastern Asia,7154.6,"354,490.53","263,259.37","50,128.76","35,172.52",0.906
Hungary,HUN,Eastern Europe,9955,"223,497.05","124,600.49","22,413.13","13,790.31",0.831
Iceland,ISL,Northern Europe,330,"12,194.04","13,578.94","38,225.85","43,968.70",0.906
India,IND,Southern Asia,1252140,"5,757,534.05","1,858,740.11","4,734.98","1,532.94",0.554
Indonesia,IDN,South-Eastern Asia,249866,"2,058,129.82","878,043.03","8,538.61","3,511.24",0.629
Iran (Islamic Republic of),IRN,Southern Asia,77447,"1,314,235.63","552,397.27","17,488.24","7,668.85",0.742
Iraq,IRQ,Western Asia,33765,"371,045.55","215,837.91","11,129.56","4,793.74",0.59
Ireland,IRL,Northern Europe,4627,"196,554.54","210,636.35","42,942.09","49,382.90",0.916
